Year,Month,Quarter,Period,Country,Sector,Deal Type, Value 
2017,11,Q4,2017Q4,Afghanistan,Solar,Asset finance investments, 35.55 
2014,6,Q2,2014Q2,Afghanistan,Small Hydro,Asset finance investments, 331.47 
2013,10,Q4,2013Q4,Afghanistan,Solar,Asset finance investments, 13.47 
2009,5,Q2,2009Q2,Albania,Small Hydro,Asset finance investments, 224.22 
2011,11,Q4,2011Q4,Albania,Small Hydro,Asset finance investments, 10.71 
2012,2,Q1,2012Q1,Albania,Small Hydro,Asset finance investments, 21.00 
2010,12,Q4,2010Q4,Albania,Small Hydro,Asset finance investments, 9.29 
2010,6,Q2,2010Q2,Albania,Small Hydro,Asset finance investments, 13.08 
2012,9,Q3,2012Q3,Albania,Small Hydro,Asset finance investments, 10.50 
2013,12,Q4,2013Q4,Albania,Small Hydro,Asset finance investments, 142.53 
2013,5,Q2,2013Q2,Albania,Small Hydro,Asset finance investments, 145.17 
2006,12,Q4,2006Q4,Algeria,Solar,Asset finance investments, 92.04 
2015,6,Q2,2015Q2,Algeria,Solar,Asset finance investments, 32.00 
2011,3,Q1,2011Q1,Algeria,Wind,Asset finance investments, 30.80 
2014,1,Q1,2014Q1,Algeria,Solar,Asset finance investments, 4.80 
2015,9,Q3,2015Q3,Algeria,Solar,Asset finance investments, 4.80 
2014,4,Q2,2014Q2,Algeria,Solar,Asset finance investments, 372.80 
2016,10,Q4,2016Q4,Algeria,Solar,Asset finance investments, 6.05 
2013,1,Q1,2013Q1,Algeria,Solar,Asset finance investments, 6.58 
2013,1,Q1,2013Q1,Algeria,Solar,Asset finance investments, 28.52 
2013,1,Q1,2013Q1,Algeria,Solar,Asset finance investments, 19.74 
2006,8,Q3,2006Q3,Angola,Small Hydro,Asset finance investments, 30.08 
2010,12,Q4,2010Q4,Angola,Biofuels,Asset finance investments, 10.34 
2011,5,Q2,2011Q2,Argentina,Solar,Asset finance investments, 10.40 
2011,5,Q2,2011Q2,Argentina,Solar,Asset finance investments, 15.60 
2013,12,Q4,2013Q4,Argentina,Solar,Asset finance investments, 11.00 
2012,12,Q4,2012Q4,Argentina,Solar,Asset finance investments, 10.10 
2012,12,Q4,2012Q4,Argentina,Solar,Asset finance investments, 15.15 
2018,3,Q1,2018Q1,Argentina,Solar,Asset finance investments, 28.46 
2018,3,Q1,2018Q1,Argentina,Solar,Asset finance investments, 18.98 
2012,12,Q4,2012Q4,Argentina,Biofuels,Asset finance investments, 133.67 
2007,12,Q4,2007Q4,Argentina,Biomass & Waste,Asset finance investments, 32.90 
2010,8,Q3,2010Q3,Argentina,Biofuels,Asset finance investments, 19.63 
2017,7,Q3,2017Q3,Argentina,Biomass & Waste,Asset finance investments, 3.00 
2009,7,Q3,2009Q3,Argentina,Biomass & Waste,Asset finance investments, 36.77 
2014,12,Q4,2014Q4,Argentina,Biofuels,Asset finance investments, 37.60 
2018,2,Q1,2018Q1,Argentina,Wind,Asset finance investments, 89.13 
2004,12,Q4,< 2006,Argentina,Biofuels,Asset finance investments, 4.78 
2007,12,Q4,2007Q4,Argentina,Biofuels,Asset finance investments, 2.00 
2017,11,Q4,2017Q4,Argentina,Wind,Asset finance investments, 385.24 
2009,1,Q1,2009Q1,Argentina,Wind,Asset finance investments, 6.14 
2009,7,Q3,2009Q3,Argentina,Wind,Asset finance investments, 60.38 
2013,3,Q1,2013Q1,Argentina,Wind,Asset finance investments, 35.28 
2008,12,Q4,2008Q4,Argentina,Biofuels,Asset finance investments, 26.96 
2007,12,Q4,2007Q4,Argentina,Wind,Asset finance investments, 8.66 
2010,3,Q1,2010Q1,Argentina,Biofuels,Asset finance investments, 1.01 
2012,3,Q1,2012Q1,Argentina,Biofuels,Asset finance investments, 8.01 
2009,1,Q1,2009Q1,Argentina,Biofuels,Asset finance investments, 3.00 
2010,10,Q4,2010Q4,Argentina,Biofuels,Asset finance investments, 46.46 
2010,1,Q1,2010Q1,Argentina,Biofuels,Asset finance investments, 17.34 
2005,12,Q4,< 2006,Argentina,Biofuels,Asset finance investments, 8.07 
2008,12,Q4,2008Q4,Argentina,Biofuels,Asset finance investments, 22.68 
2017,1,Q1,2017Q1,Argentina,Biomass & Waste,Asset finance investments, 6.00 
2011,12,Q4,2011Q4,Argentina,Wind,Asset finance investments, 8.82 
2010,8,Q3,2010Q3,Argentina,Biofuels,Asset finance investments, 106.64 
2017,4,Q2,2017Q2,Argentina,Wind,Asset finance investments, 91.12 
2017,11,Q4,2017Q4,Argentina,Wind,Asset finance investments, 178.67 
2010,3,Q1,2010Q1,Argentina,Solar,Asset finance investments, 10.50 
2006,12,Q4,2006Q4,Argentina,Biofuels,Asset finance investments, 13.24 
2008,12,Q4,2008Q4,Argentina,Biofuels,Asset finance investments, 35.63 
2013,3,Q1,2013Q1,Argentina,Biofuels,Asset finance investments, 40.00 
2005,9,Q3,< 2006,Argentina,Biofuels,Asset finance investments, 8.26 
2017,10,Q4,2017Q4,Argentina,Small Hydro,Asset finance investments, 4.44 
2010,2,Q1,2010Q1,Argentina,Small Hydro,Asset finance investments, 10.80 
2010,2,Q1,2010Q1,Argentina,Small Hydro,Asset finance investments, 10.40 
2010,2,Q1,2010Q1,Argentina,Small Hydro,Asset finance investments, 12.40 
2005,10,Q4,< 2006,Argentina,Biofuels,Asset finance investments, 64.62 
2009,4,Q2,2009Q2,Argentina,Small Hydro,Asset finance investments, 14.00 
2015,4,Q2,2015Q2,Argentina,Biomass & Waste,Asset finance investments, 32.09 
2010,6,Q2,2010Q2,Argentina,Biomass & Waste,Asset finance investments, 88.93 
2007,1,Q1,2007Q1,Argentina,Biofuels,Asset finance investments, 53.97 
2011,1,Q1,2011Q1,Argentina,Biofuels,Asset finance investments, 5.00 
2006,12,Q4,2006Q4,Argentina,Biofuels,Asset finance investments, 2.89 
2009,6,Q2,2009Q2,Argentina,Biofuels,Asset finance investments, 1.25 
2017,12,Q4,2017Q4,Argentina,Wind,Asset finance investments, 191.43 
2018,3,Q1,2018Q1,Argentina,Biomass & Waste,Asset finance investments, 2.30 
2017,5,Q2,2017Q2,Argentina,Biomass & Waste,Asset finance investments, 72.00 
2009,12,Q4,2009Q4,Argentina,Biofuels,Asset finance investments, 0.26 
2010,6,Q2,2010Q2,Argentina,Small Hydro,Asset finance investments, 13.41 
2011,9,Q3,2011Q3,Argentina,Small Hydro,Asset finance investments, 13.00 
2017,3,Q1,2017Q1,Argentina,Wind,Asset finance investments, 40.00 
2010,11,Q4,2010Q4,Argentina,Wind,Asset finance investments, 144.93 
2015,12,Q4,2015Q4,Argentina,Wind,VC/PE investments, 36.61 
2018,2,Q1,2018Q1,Argentina,Wind,Asset finance investments, 57.50 
2018,3,Q1,2018Q1,Argentina,Biomass & Waste,Asset finance investments, 2.30 
2018,3,Q1,2018Q1,Argentina,Wind,Asset finance investments, 76.07 
2009,7,Q3,2009Q3,Argentina,Biofuels,Asset finance investments, 4.41 
2007,9,Q3,2007Q3,Argentina,Biofuels,Asset finance investments, 2.54 
2011,6,Q2,2011Q2,Argentina,Wind,Asset finance investments, 20.00 
2012,1,Q1,2012Q1,Argentina,Wind,Asset finance investments, 83.72 
2012,12,Q4,2012Q4,Argentina,Wind,Asset finance investments, 75.29 
2012,1,Q1,2012Q1,Argentina,Wind,Asset finance investments, 130.23 
2017,9,Q3,2017Q3,Argentina,Solar,Asset finance investments, 453.60 
2008,9,Q3,2008Q3,Argentina,Biofuels,Asset finance investments, 10.23 
2012,3,Q1,2012Q1,Argentina,Biofuels,VC/PE investments, 0.59 
2012,9,Q3,2012Q3,Argentina,Small Hydro,Asset finance investments, 3.70 
2011,9,Q3,2011Q3,Argentina,Biofuels,Asset finance investments, 1.83 
2017,6,Q2,2017Q2,Argentina,Solar,Asset finance investments, 2.87 
2006,7,Q3,2006Q3,Argentina,Biofuels,Asset finance investments, 35.16 
2011,12,Q4,2011Q4,Argentina,Biofuels,Asset finance investments, 124.95 
2009,12,Q4,2009Q4,Argentina,Biofuels,Asset finance investments, 3.14 
2009,5,Q2,2009Q2,Argentina,Biofuels,Asset finance investments, 4.50 
2011,10,Q4,2011Q4,Argentina,Biofuels,Asset finance investments, 10.34 
2008,3,Q1,2008Q1,Argentina,Biomass & Waste,Asset finance investments, 50.70 
2007,12,Q4,2007Q4,Argentina,Biofuels,Asset finance investments, 10.00 
2008,8,Q3,2008Q3,Argentina,Biofuels,Asset finance investments, 1.35 
2010,11,Q4,2010Q4,Argentina,Biofuels,Asset finance investments, 6.19 
2008,12,Q4,2008Q4,Argentina,Wind,Asset finance investments, 2.58 
2006,6,Q2,2006Q2,Argentina,Biofuels,Asset finance investments, 19.64 
2013,1,Q1,2013Q1,Argentina,Biofuels,Asset finance investments, 20.30 
2017,10,Q4,2017Q4,Argentina,Wind,Asset finance investments, 269.33 
2017,12,Q4,2017Q4,Argentina,Wind,Asset finance investments, 51.05 
2018,3,Q1,2018Q1,Argentina,Biomass & Waste,Asset finance investments, 3.45 
2008,6,Q2,2008Q2,Argentina,Biofuels,Asset finance investments, 60.00 
2018,3,Q1,2018Q1,Argentina,Wind,Asset finance investments, 207.00 
2008,6,Q2,2008Q2,Argentina,Biomass & Waste,Asset finance investments, 12.81 
2004,12,Q4,< 2006,Argentina,Biofuels,Asset finance investments, 5.07 
2011,2,Q1,2011Q1,Argentina,Biofuels,Asset finance investments, 62.18 
2011,11,Q4,2011Q4,Argentina,Biofuels,Asset finance investments, 200.00 
2007,3,Q1,2007Q1,Argentina,Biofuels,Asset finance investments, 4.58 
2006,10,Q4,2006Q4,Argentina,Biofuels,Asset finance investments, 129.48 
2007,5,Q2,2007Q2,Argentina,Biofuels,Asset finance investments, 8.11 
2006,12,Q4,2006Q4,Argentina,Small Hydro,Asset finance investments, 22.56 
2008,7,Q3,2008Q3,Argentina,Biofuels,Asset finance investments, 18.43 
2017,10,Q4,2017Q4,Argentina,Small Hydro,Asset finance investments, 2.64 
2017,10,Q4,2017Q4,Argentina,Small Hydro,Asset finance investments, 3.12 
2015,4,Q2,2015Q2,Argentina,Solar,Asset finance investments, 3.68 
2010,5,Q2,2010Q2,Argentina,Biomass & Waste,Asset finance investments, 15.51 
2018,1,Q1,2018Q1,Argentina,Wind,Asset finance investments, 172.50 
2005,12,Q4,< 2006,Argentina,Biofuels,Asset finance investments, 4.85 
2009,8,Q3,2009Q3,Argentina,Wind,Asset finance investments, 0.26 
2013,4,Q2,2013Q2,Argentina,Solar,Asset finance investments, 6.09 
2007,1,Q1,2007Q1,Argentina,Biofuels,Asset finance investments, 40.00 
2011,7,Q3,2011Q3,Argentina,Biofuels,Asset finance investments, 67.90 
2006,8,Q3,2006Q3,Argentina,Biofuels,Asset finance investments, 0.90 
2007,12,Q4,2007Q4,Argentina,Biofuels,Asset finance investments, 7.69 
2011,12,Q4,2011Q4,Argentina,Biofuels,Asset finance investments, 23.50 
2008,12,Q4,2008Q4,Argentina,Biofuels,Asset finance investments, 95.99 
2016,12,Q4,2016Q4,Argentina,Wind,Asset finance investments, 200.00 
1900,0,0,< 2006,Argentina,Wind,FALSE,-0.30 
1900,0,0,< 2006,Argentina,Wind,FALSE,-0.30 
2008,12,Q4,2008Q4,Argentina,Biofuels,Asset finance investments, 21.81 
2016,9,Q3,2016Q3,Argentina,Wind,Asset finance investments, 1.89 
2007,8,Q3,2007Q3,Argentina,Biofuels,Corporate finance investments, 46.32 
2014,1,Q1,2014Q1,Argentina,Biofuels,Asset finance investments, 4.92 
2017,7,Q3,2017Q3,Argentina,Wind,Asset finance investments, 0.77 
2018,3,Q1,2018Q1,Argentina,Solar,Asset finance investments, 8.00 
2016,10,Q4,2016Q4,Argentina,Wind,Asset finance investments, 22.95 
2016,10,Q4,2016Q4,Argentina,Wind,Asset finance investments, 105.08 
2017,12,Q4,2017Q4,Argentina,Wind,Asset finance investments, 11.90 
2018,8,Q3,2018Q3,Argentina,Wind,Asset finance investments, 12.76 
2008,9,Q3,2008Q3,Argentina,Biofuels,VC/PE investments, 54.66 
2010,4,Q2,2010Q2,Argentina,Biofuels,Corporate finance investments, 56.33 
2007,12,Q4,2007Q4,Argentina,Biofuels,Asset finance investments, 133.84 
2018,7,Q3,2018Q3,Argentina,Solar,Asset finance investments, 80.00 
2018,7,Q3,2018Q3,Argentina,Solar,Asset finance investments, 82.00 
2018,8,Q3,2018Q3,Argentina,Wind,Asset finance investments, 90.00 
2018,7,Q3,2018Q3,Argentina,Wind,Asset finance investments, 7.50 
2018,9,Q3,2018Q3,Argentina,Solar,Asset finance investments, 27.90 
2018,9,Q3,2018Q3,Argentina,Solar,Asset finance investments, 9.26 
2018,6,Q2,2018Q2,Argentina,Wind,Asset finance investments, 56.98 
2018,6,Q2,2018Q2,Argentina,Wind,Asset finance investments, 187.00 
2018,6,Q2,2018Q2,Argentina,Wind,Asset finance investments, 144.10 
2018,5,Q2,2018Q2,Argentina,Wind,Asset finance investments, 29.30 
2018,4,Q2,2018Q2,Argentina,Solar,Asset finance investments, 95.45 
1900,0,0,< 2006,Argentina,Solar,FALSE,-2.04 
1900,0,0,< 2006,Argentina,Solar,FALSE,-2.04 
2018,4,Q2,2018Q2,Argentina,Solar,Asset finance investments, 348.64 
2018,4,Q2,2018Q2,Argentina,Wind,Asset finance investments, 171.34 
2018,6,Q2,2018Q2,Argentina,Solar,Asset finance investments, 425.17 
2008,6,Q2,2008Q2,Armenia,Small Hydro,Asset finance investments, 16.85 
2006,6,Q2,2006Q2,Armenia,Small Hydro,Asset finance investments, 7.52 
2008,2,Q1,2008Q1,Armenia,Small Hydro,Asset finance investments, 12.41 
2006,8,Q3,2006Q3,Armenia,Small Hydro,Asset finance investments, 7.05 
2006,4,Q2,2006Q2,Armenia,Small Hydro,Asset finance investments, 27.90 
2017,7,Q3,2017Q3,Armenia,Solar,Asset finance investments, 97.76 
2005,11,Q4,< 2006,Armenia,Biomass & Waste,Asset finance investments, 4.35 
2005,6,Q2,< 2006,Armenia,Wind,Asset finance investments, 3.64 
2008,4,Q2,2008Q2,Armenia,Small Hydro,Asset finance investments, 8.82 
2005,12,Q4,< 2006,Armenia,Wind,Asset finance investments, 6.54 
2008,9,Q3,2008Q3,Armenia,Small Hydro,Asset finance investments, 21.75 
2004,12,Q4,< 2006,Armenia,Wind,Asset finance investments, 28.80 
2015,8,Q3,2015Q3,Armenia,Geothermal,Asset finance investments, 8.72 
2011,9,Q3,2011Q3,Azerbaijan,Solar,Asset finance investments, 4.30 
2011,6,Q2,2011Q2,Azerbaijan,Wind,Asset finance investments, 3.78 
2011,6,Q2,2011Q2,Azerbaijan,Solar,Asset finance investments, 7.74 
2014,4,Q2,2014Q2,Azerbaijan,Solar,Asset finance investments, 4.48 
2014,12,Q4,2014Q4,Azerbaijan,Solar,Asset finance investments, 4.48 
2010,9,Q3,2010Q3,Azerbaijan,Wind,Asset finance investments, 5.13 
2018,1,Q1,2018Q1,Azerbaijan,Wind,Asset finance investments, 52.31 
2011,8,Q3,2011Q3,Bangladesh,Solar,Asset finance investments, 4.30 
2011,8,Q3,2011Q3,Bangladesh,Solar,Asset finance investments, 21.50 
2016,3,Q1,2016Q1,Bangladesh,Solar,Asset finance investments, 3.63 
2005,7,Q3,< 2006,Bangladesh,Wind,Asset finance investments, 1.26 
2014,4,Q2,2014Q2,Belarus,Biomass & Waste,Asset finance investments, 64.00 
2012,7,Q3,2012Q3,Belarus,Small Hydro,Asset finance investments, 80.00 
2010,1,Q1,2010Q1,Belarus,Biomass & Waste,Asset finance investments, 8.97 
2016,6,Q2,2016Q2,Belarus,Small Hydro,Asset finance investments, 3.15 
2011,4,Q2,2011Q2,Belarus,Biomass & Waste,Asset finance investments, 5.94 
2011,6,Q2,2011Q2,Belarus,Wind,Asset finance investments, 32.34 
2010,1,Q1,2010Q1,Belarus,Small Hydro,Asset finance investments, 29.45 
2006,8,Q3,2006Q3,Belarus,Biofuels,Asset finance investments, 0.00 
2008,2,Q1,2008Q1,Belarus,Biofuels,Asset finance investments, 1.62 
2008,2,Q1,2008Q1,Belarus,Biofuels,Asset finance investments, 2.70 
2009,12,Q4,2009Q4,Belarus,Biofuels,Asset finance investments, 28.43 
2015,1,Q1,2015Q1,Belarus,Wind,Asset finance investments, 2.21 
2014,9,Q3,2014Q3,Belarus,Solar,Asset finance investments, 2.50 
2010,12,Q4,2010Q4,Belarus,Biofuels,Asset finance investments, 22.34 
2016,6,Q2,2016Q2,Belarus,Small Hydro,Asset finance investments, 4.58 
2009,3,Q1,2009Q1,Belarus,Biomass & Waste,Asset finance investments, 12.84 
2014,12,Q4,2014Q4,Belarus,Wind,Asset finance investments, 3.78 
2009,6,Q2,2009Q2,Belarus,Biomass & Waste,Asset finance investments, 5.58 
2014,6,Q2,2014Q2,Belarus,Solar,Asset finance investments, 5.92 
2016,2,Q1,2016Q1,Belarus,Solar,Asset finance investments, 26.71 
2010,11,Q4,2010Q4,Belarus,Small Hydro,Asset finance investments, 142.70 
2012,12,Q4,2012Q4,Belarus,Small Hydro,Asset finance investments, 84.00 
2016,6,Q2,2016Q2,Belarus,Small Hydro,Asset finance investments, 3.36 
2015,6,Q2,2015Q2,Belarus,Wind,Asset finance investments, 5.15 
2004,9,Q3,< 2006,Bolivia,Small Hydro,Asset finance investments, 19.07 
2014,6,Q2,2014Q2,Bolivia,Solar,Asset finance investments, 11.80 
2016,4,Q2,2016Q2,Bolivia,Geothermal,Asset finance investments, 30.25 
2016,9,Q3,2016Q3,Bolivia,Geothermal,Asset finance investments, 612.22 
2016,2,Q1,2016Q1,Bolivia,Solar,Asset finance investments, 60.50 
2013,9,Q3,2013Q3,Bolivia,Wind,Asset finance investments, 6.95 
2014,12,Q4,2014Q4,Bolivia,Wind,Asset finance investments, 64.50 
2016,11,Q4,2016Q4,Bolivia,Wind,Asset finance investments, 192.80 
2016,4,Q2,2016Q2,Bolivia,Solar,Asset finance investments, 120.00 
2016,4,Q2,2016Q2,Bolivia,Solar,Asset finance investments, 10.85 
2005,12,Q4,< 2006,Bolivia,Biomass & Waste,Asset finance investments, 71.39 
2005,12,Q4,< 2006,Bolivia,Small Hydro,Asset finance investments, 5.27 
2012,11,Q4,2012Q4,Bolivia,Biomass & Waste,Asset finance investments, 2.00 
2017,7,Q3,2017Q3,Bolivia,Wind,Asset finance investments, 39.65 
2014,3,Q1,2014Q1,Bolivia,Geothermal,Asset finance investments, 24.90 
2017,7,Q3,2017Q3,Bolivia,Wind,Asset finance investments, 34.65 
2018,4,Q2,2018Q2,Bolivia,Wind,Asset finance investments, 210.45 
2011,12,Q4,2011Q4,Bosnia and Herzegovina,Small Hydro,Asset finance investments, 72.60 
2007,11,Q4,2007Q4,Bosnia and Herzegovina,Small Hydro,Asset finance investments, 28.29 
2013,10,Q4,2013Q4,Bosnia and Herzegovina,Small Hydro,Asset finance investments, 13.44 
2014,4,Q2,2014Q2,Bosnia and Herzegovina,Small Hydro,Asset finance investments, 103.76 
2013,12,Q4,2013Q4,Bosnia and Herzegovina,Wind,Asset finance investments, 102.07 
2018,2,Q1,2018Q1,Bosnia and Herzegovina,Wind,Asset finance investments, 72.82 
2009,11,Q4,2009Q4,Bosnia and Herzegovina,Wind,Asset finance investments, 129.64 
2006,6,Q2,2006Q2,Bosnia and Herzegovina,Wind,Asset finance investments, 94.89 
2007,10,Q4,2007Q4,Bosnia and Herzegovina,Small Hydro,Asset finance investments, 1.63 
2005,1,Q1,< 2006,Bosnia and Herzegovina,Small Hydro,Asset finance investments, 47.44 
2008,2,Q1,2008Q1,Bosnia and Herzegovina,Biofuels,Asset finance investments, 32.19 
2011,3,Q1,2011Q1,Botswana,Biofuels,Asset finance investments, 1.98 
2005,12,Q4,< 2006,Botswana,Biofuels,Asset finance investments, 0.09 
2010,2,Q1,2010Q1,Botswana,Solar,Asset finance investments, 5.91 
2012,1,Q1,2012Q1,Brazil,Small Hydro,Asset finance investments, 15.87 
2008,3,Q1,2008Q1,Brazil,Biofuels,Asset finance investments, 0.85 
2006,7,Q3,2006Q3,Brazil,Biofuels,Asset finance investments, 0.40 
2009,12,Q4,2009Q4,Brazil,Biomass & Waste,Asset finance investments, 55.05 
2011,8,Q3,2011Q3,Brazil,Biofuels,Asset finance investments, 56.06 
2014,12,Q4,2014Q4,Brazil,Biofuels,Asset finance investments, 116.27 
2010,3,Q1,2010Q1,Brazil,Biomass & Waste,Asset finance investments, 351.18 
2007,11,Q4,2007Q4,Brazil,Biofuels,Asset finance investments, 555.62 
2011,12,Q4,2011Q4,Brazil,Biofuels,Asset finance investments, 512.00 
2009,1,Q1,2009Q1,Brazil,Biomass & Waste,Asset finance investments, 20.22 
2011,7,Q3,2011Q3,Brazil,Biofuels,Asset finance investments, 63.39 
2007,1,Q1,2007Q1,Brazil,Biofuels,Asset finance investments, 103.11 
2009,6,Q2,2009Q2,Brazil,Biofuels,Asset finance investments, 41.66 
2011,1,Q1,2011Q1,Brazil,Biofuels,Asset finance investments, 50.02 
2016,5,Q2,2016Q2,Brazil,Small Hydro,Asset finance investments, 28.22 
2008,3,Q1,2008Q1,Brazil,Small Hydro,Asset finance investments, 17.52 
2006,9,Q3,2006Q3,Brazil,Biofuels,Asset finance investments, 160.68 
2010,2,Q1,2010Q1,Brazil,Small Hydro,Asset finance investments, 38.16 
2005,4,Q2,< 2006,Brazil,Biofuels,Asset finance investments, 2.70 
2014,12,Q4,2014Q4,Brazil,Small Hydro,Asset finance investments, 6.00 
2006,5,Q2,2006Q2,Brazil,Biofuels,Asset finance investments, 12.32 
2017,11,Q4,2017Q4,Brazil,Small Hydro,Asset finance investments, 19.84 
2006,4,Q2,2006Q2,Brazil,Wind,Asset finance investments, 14.39 
2016,1,Q1,2016Q1,Brazil,Small Hydro,Asset finance investments, 14.72 
2007,7,Q3,2007Q3,Brazil,Biofuels,Asset finance investments, 3.76 
2009,5,Q2,2009Q2,Brazil,Biofuels,Asset finance investments, 0.38 
2007,4,Q2,2007Q2,Brazil,Biomass & Waste,Asset finance investments, 98.70 
2011,10,Q4,2011Q4,Brazil,Biomass & Waste,Asset finance investments, 97.65 
2009,2,Q1,2009Q1,Brazil,Biofuels,Asset finance investments, 27.98 
2006,5,Q2,2006Q2,Brazil,Biofuels,Asset finance investments, 178.69 
2008,4,Q2,2008Q2,Brazil,Small Hydro,Asset finance investments, 21.93 
2006,7,Q3,2006Q3,Brazil,Small Hydro,Asset finance investments, 37.07 
2007,4,Q2,2007Q2,Brazil,Small Hydro,Asset finance investments, 59.40 
2007,3,Q1,2007Q1,Brazil,Small Hydro,Asset finance investments, 52.27 
2008,12,Q4,2008Q4,Brazil,Small Hydro,Asset finance investments, 64.92 
2008,12,Q4,2008Q4,Brazil,Small Hydro,Asset finance investments, 66.90 
2008,4,Q2,2008Q2,Brazil,Biofuels,Asset finance investments, 3.02 
2010,8,Q3,2010Q3,Brazil,Biofuels,Asset finance investments, 12.61 
2006,6,Q2,2006Q2,Brazil,Biomass & Waste,Asset finance investments, 4.22 
2007,8,Q3,2007Q3,Brazil,Small Hydro,Asset finance investments, 22.40 
2014,8,Q3,2014Q3,Brazil,Small Hydro,Asset finance investments, 10.08 
2006,4,Q2,2006Q2,Brazil,Small Hydro,Asset finance investments, 108.26 
2007,12,Q4,2007Q4,Brazil,Small Hydro,Asset finance investments, 6.74 
2006,8,Q3,2006Q3,Brazil,Biofuels,Asset finance investments, 19.09 
2008,7,Q3,2008Q3,Brazil,Biomass & Waste,Asset finance investments, 175.60 
2008,12,Q4,2008Q4,Brazil,Small Hydro,Asset finance investments, 13.25 
2007,1,Q1,2007Q1,Brazil,Small Hydro,Asset finance investments, 39.43 
2017,1,Q1,2017Q1,Brazil,Biomass & Waste,Asset finance investments, 6.10 
2007,12,Q4,2007Q4,Brazil,Biofuels,Asset finance investments, 72.00 
2009,10,Q4,2009Q4,Brazil,Small Hydro,Asset finance investments, 76.31 
2017,7,Q3,2017Q3,Brazil,Wind,Asset finance investments, 419.81 
2015,11,Q4,2015Q4,Brazil,Wind,Asset finance investments, 37.88 
2016,1,Q1,2016Q1,Brazil,Wind,Asset finance investments, 42.00 
2015,11,Q4,2015Q4,Brazil,Wind,Asset finance investments, 37.88 
2016,2,Q1,2016Q1,Brazil,Wind,Asset finance investments, 15.00 
2015,11,Q4,2015Q4,Brazil,Wind,Asset finance investments, 27.55 
2015,10,Q4,2015Q4,Brazil,Wind,Asset finance investments, 24.11 
2015,11,Q4,2015Q4,Brazil,Wind,Asset finance investments, 31.00 
2016,2,Q1,2016Q1,Brazil,Wind,Asset finance investments, 24.00 
2015,11,Q4,2015Q4,Brazil,Wind,Asset finance investments, 44.77 
2016,2,Q1,2016Q1,Brazil,Wind,Asset finance investments, 24.00 
2016,2,Q1,2016Q1,Brazil,Wind,Asset finance investments, 15.00 
2015,9,Q3,2015Q3,Brazil,Wind,Asset finance investments, 13.78 
2014,3,Q1,2014Q1,Brazil,Wind,Asset finance investments, 60.00 
2013,11,Q4,2013Q4,Brazil,Wind,VC/PE investments, 182.44 
2012,10,Q4,2012Q4,Brazil,Small Hydro,Asset finance investments, 21.36 
2012,12,Q4,2012Q4,Brazil,Wind,Asset finance investments, 58.04 
2014,10,Q4,2014Q4,Brazil,Wind,Asset finance investments, 41.53 
2014,10,Q4,2014Q4,Brazil,Wind,Asset finance investments, 41.53 
2014,9,Q3,2014Q3,Brazil,Wind,Asset finance investments, 43.92 
2014,10,Q4,2014Q4,Brazil,Wind,Asset finance investments, 41.53 
2015,5,Q2,2015Q2,Brazil,Wind,Asset finance investments, 63.00 
2009,8,Q3,2009Q3,Brazil,Biofuels,Asset finance investments, 141.60 
2007,5,Q2,2007Q2,Brazil,Biofuels,Asset finance investments, 4.54 
2010,2,Q1,2010Q1,Brazil,Biofuels,Asset finance investments, 1.15 
2009,10,Q4,2009Q4,Brazil,Biomass & Waste,Asset finance investments, 114.39 
2008,2,Q1,2008Q1,Brazil,Biofuels,Asset finance investments, 89.80 
2009,8,Q3,2009Q3,Brazil,Small Hydro,Asset finance investments, 109.64 
2015,8,Q3,2015Q3,Brazil,Small Hydro,Asset finance investments, 6.14 
2006,11,Q4,2006Q4,Brazil,Biofuels,Asset finance investments, 17.16 
2011,8,Q3,2011Q3,Brazil,Biofuels,Asset finance investments, 38.81 
2013,10,Q4,2013Q4,Brazil,Biofuels,Asset finance investments, 67.43 
2005,8,Q3,< 2006,Brazil,Biofuels,Asset finance investments, 68.01 
2012,1,Q1,2012Q1,Brazil,Biomass & Waste,Asset finance investments, 28.41 
2012,1,Q1,2012Q1,Brazil,Biomass & Waste,Asset finance investments, 28.41 
2008,8,Q3,2008Q3,Brazil,Wind,Asset finance investments, 86.53 
2008,11,Q4,2008Q4,Brazil,Biofuels,Asset finance investments, 1.88 
2010,4,Q2,2010Q2,Brazil,Biomass & Waste,Asset finance investments, 22.15 
2009,12,Q4,2009Q4,Brazil,Biomass & Waste,Asset finance investments, 56.94 
2007,7,Q3,2007Q3,Brazil,Biomass & Waste,Asset finance investments, 39.48 
2006,9,Q3,2006Q3,Brazil,Small Hydro,Asset finance investments, 74.15 
2009,1,Q1,2009Q1,Brazil,Biofuels,Asset finance investments, 281.87 
2011,1,Q1,2011Q1,Brazil,Biofuels,Asset finance investments, 113.40 
2006,1,Q1,2006Q1,Brazil,Biofuels,Asset finance investments, 2.23 
2006,4,Q2,2006Q2,Brazil,Biofuels,Asset finance investments, 4.62 
2008,11,Q4,2008Q4,Brazil,Biofuels,Asset finance investments, 7.03 
2009,9,Q3,2009Q3,Brazil,Biofuels,Asset finance investments, 42.67 
2010,7,Q3,2010Q3,Brazil,Biofuels,Asset finance investments, 25.21 
2009,6,Q2,2009Q2,Brazil,Biofuels,Asset finance investments, 45.72 
2011,2,Q1,2011Q1,Brazil,Biofuels,Asset finance investments, 1.23 
