id,topic,category,indicator,subindicator,units,geography,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,note
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Mongolia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Myanmar,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Nepal,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,New Zealand,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Pakistan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Philippines,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Singapore,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Sri Lanka,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Taiwan,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Tajikistan,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Thailand,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Turkmenistan,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Uzbekistan,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Vietnam,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Albania,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Austria,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Belarus,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Belgium,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Bosnia and Herzegovina,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Bulgaria,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Croatia,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Czech Republic,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Denmark,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Finland,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,France,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Germany,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Greece,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Hungary,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Ireland,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Italy,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Lithuania,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Moldova,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Netherlands,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,North Macedonia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Norway,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Poland,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Portugal,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Romania,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Russia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Serbia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Slovakia,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Slovenia,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Spain,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Sweden,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Switzerland,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Turkey,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Ukraine,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,United Kingdom,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Algeria,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Angola,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Benin,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Botswana,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Burkina Faso,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Burundi,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Cameroon,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Central African Republic,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Chad,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Congo,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Congo (Dem. Rep.),,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Cote d'Ivoire,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Egypt,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Eritrea,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Ethiopia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Ghana,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Guinea,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Iraq,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Israel,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Jordan,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Kenya,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Kuwait,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Lebanon,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Lesotho,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Liberia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Madagascar,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Malawi,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Mali,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Mauritania,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Morocco,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Mozambique,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Namibia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Niger,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Nigeria,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Oman,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Palestinian Authority,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Qatar,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Rwanda,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Saudi Arabia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Senegal,,,,,,,,,,0.75,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Sierra Leone,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Somalia,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,South Africa,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,South Sudan,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Sudan,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Tanzania,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Togo,,,,,,,,,,,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Tunisia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Uganda,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,United Arab Emirates,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Zambia,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Currency variation,Score,Zimbabwe,,,,,,,,,,0.25,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Canada,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,United States,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Argentina,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Bolivia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Brazil,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Chile,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Colombia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Costa Rica,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Dominican Republic,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Ecuador,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,El Salvador,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Guatemala,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Haiti,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Honduras,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Jamaica,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Mexico,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Nicaragua,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Panama,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Paraguay,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Peru,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Uruguay,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Afghanistan,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Armenia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Australia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Azerbaijan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Bangladesh,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Cambodia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Mainland China,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Georgia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,India,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Indonesia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Japan,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Kazakhstan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Korea (Republic),,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Kyrgyzstan,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Laos,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Malaysia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Mongolia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Myanmar,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Nepal,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,New Zealand,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Pakistan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Philippines,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Singapore,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Sri Lanka,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Taiwan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Tajikistan,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Thailand,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Turkmenistan,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Uzbekistan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Vietnam,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Albania,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Austria,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Belarus,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Belgium,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Bosnia and Herzegovina,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Bulgaria,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Croatia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Czech Republic,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Denmark,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Finland,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,France,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Germany,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Greece,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Hungary,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Ireland,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Italy,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Lithuania,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Moldova,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Netherlands,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,North Macedonia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Norway,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Poland,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Portugal,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Romania,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Russia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Serbia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Slovakia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Slovenia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Spain,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Sweden,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Switzerland,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Turkey,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Ukraine,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,United Kingdom,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Algeria,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Angola,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Benin,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Botswana,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Burkina Faso,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Burundi,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Cameroon,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Central African Republic,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Chad,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Congo,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Congo (Dem. Rep.),,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Cote d'Ivoire,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Egypt,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Eritrea,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Ethiopia,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Ghana,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Guinea,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Iraq,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Israel,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Jordan,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Kenya,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Kuwait,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Lebanon,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Lesotho,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Liberia,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Madagascar,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Malawi,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Mali,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Mauritania,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Morocco,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Mozambique,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Namibia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Niger,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Nigeria,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Oman,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Palestinian Authority,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Qatar,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Rwanda,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Saudi Arabia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Senegal,,,,,,,,,,0.5,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Sierra Leone,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Somalia,,,,,,,,,,1,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,South Africa,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,South Sudan,,,,,,,,,,0,
1.07,Fundamentals,Barriers,Barriers - General,Other project development barriers,Questions,Sudan,,,,,,,,,,0,
