category,rank,geography,score
overall,67,Saudi Arabia,1.684621268
overall,68,Bosnia and Herzegovina,1.670529765
overall,69,Algeria,1.651040039
overall,70,Laos,1.643754222
overall,71,Benin,1.61497994
overall,72,Tajikistan,1.608845213
overall,73,Moldova,1.605249959
overall,74,Indonesia,1.555096685
overall,75,Cote d'Ivoire,1.544721881
overall,76,Kyrgyzstan,1.538099798
overall,77,Liberia,1.531361636
overall,78,West Bank and Gaza,1.516307393
overall,79,Lebanon,1.501611954
overall,80,Ecuador,1.492577976
overall,81,Lesotho,1.457067725
overall,82,Mozambique,1.411554837
overall,83,Jamaica,1.360907475
overall,84,Qatar,1.35286927
overall,85,Bolivia,1.352167566
overall,86,Botswana,1.347335161
overall,87,Guinea,1.300825776
overall,88,Niger,1.288590936
overall,89,Congo (Dem. Rep.),1.276246504
overall,90,Kuwait,1.26367162
overall,91,Haiti,1.233310198
overall,92,Angola,1.223692317
overall,93,Mauritania,1.22103038
overall,94,Central African Republic,1.092464381
overall,95,Chad,0.87541003
overall,96,Somalia,0.871880942
overall,97,Azerbaijan,0.826913685
overall,98,Sudan,0.811547025
overall,99,Paraguay,0.793663413
overall,100,South Sudan,0.776113552
overall,101,"Congo, Rep. ",0.656090851
overall,102,Uzbekistan,0.614878484
overall,103,Eritrea,0.537678576
overall,104,Turkmenistan,0.324326387
fundamentals,1,India,3.840256861
fundamentals,2,Chile,3.828572862
fundamentals,3,Brazil,3.704805941
fundamentals,4,Jordan,3.507251723
fundamentals,5,Peru,3.362063173
fundamentals,6,Georgia,3.31407939
fundamentals,7,Colombia,3.296390707
fundamentals,8,Thailand,3.276323674
fundamentals,9,Argentina,3.252439677
fundamentals,10,Ukraine,3.242513993
fundamentals,11,Nigeria,3.119067166
fundamentals,12,Morocco,3.117827958
fundamentals,13,China,3.104062212
fundamentals,14,Philippines,2.988084054
fundamentals,15,Singapore,2.972969289
fundamentals,16,Panama,2.971049321
fundamentals,17,Taiwan,2.939658591
fundamentals,18,Dominican Republic,2.931252599
fundamentals,19,Mexico,2.898236175
fundamentals,20,North Macedonia,2.791897249
fundamentals,21,Oman,2.787848043
fundamentals,22,El Salvador,2.78593933
fundamentals,23,Malaysia,2.779508032
fundamentals,24,Guatemala,2.768788442
fundamentals,25,Kazakhstan,2.754722176
fundamentals,26,Armenia,2.754398081
fundamentals,27,Bangladesh,2.72395492
fundamentals,28,United Arab Emirates,2.723268434
fundamentals,29,Turkey,2.70821295
fundamentals,30,Iraq,2.691390661
fundamentals,31,Serbia,2.685181768
fundamentals,32,South Africa,2.64662506
fundamentals,33,Uruguay,2.629583703
fundamentals,34,Egypt,2.596558498
fundamentals,35,Pakistan,2.565792705
fundamentals,36,Algeria,2.560093424
fundamentals,37,Tanzania,2.553824788
fundamentals,38,Zambia,2.538290709
fundamentals,39,Tunisia,2.506695453
fundamentals,40,Nicaragua,2.463680485
fundamentals,41,Uganda,2.46094509
fundamentals,42,Senegal,2.434959506
fundamentals,43,Vietnam,2.388968892
fundamentals,44,Kenya,2.374919328
fundamentals,45,Togo,2.322008856
fundamentals,46,Moldova,2.304832854
fundamentals,47,Cambodia,2.269887107
fundamentals,48,Madagascar,2.268103968
fundamentals,49,Albania,2.243508755
fundamentals,50,Zimbabwe,2.230809485
fundamentals,51,Rwanda,2.212074576
fundamentals,52,Nepal,2.20857996
fundamentals,53,Bosnia and Herzegovina,2.202467998
fundamentals,54,Russia,2.194165849
fundamentals,55,Lebanon,2.11296303
fundamentals,56,Costa Rica,2.107316323
fundamentals,57,Sri Lanka,2.094067386
fundamentals,58,West Bank and Gaza,2.093733024
fundamentals,59,Cameroon,2.091904239
fundamentals,60,Ghana,2.054862178
fundamentals,61,Honduras,2.049557794
fundamentals,62,Ecuador,2.016548504
fundamentals,63,Burkina Faso,2.012092749
fundamentals,64,Mongolia,2.00710154
fundamentals,65,Namibia,1.954531405
fundamentals,66,Qatar,1.946121934
fundamentals,67,Myanmar,1.945700465
fundamentals,68,Mali,1.945061623
fundamentals,69,Saudi Arabia,1.892097439
fundamentals,70,Kyrgyzstan,1.846946344
fundamentals,71,Botswana,1.831555281
fundamentals,72,Cote d'Ivoire,1.788082536
fundamentals,73,Lesotho,1.78277417
fundamentals,74,Afghanistan,1.767684306
fundamentals,75,Laos,1.756932738
fundamentals,76,Benin,1.747926443
fundamentals,77,Malawi,1.698796699
fundamentals,78,Tajikistan,1.686940859
fundamentals,79,Indonesia,1.64079702
fundamentals,80,Liberia,1.621554075
fundamentals,81,Sierra Leone,1.616165547
fundamentals,82,Kuwait,1.589580483
fundamentals,83,Jamaica,1.57771658
fundamentals,84,Ethiopia,1.512398961
fundamentals,85,Bolivia,1.506240097
fundamentals,86,Mozambique,1.495580409
fundamentals,87,Haiti,1.478530862
fundamentals,88,Burundi,1.35141811
fundamentals,89,Angola,1.316653517
fundamentals,90,Niger,1.269894324
fundamentals,91,Guinea,1.245732323
fundamentals,92,Congo (Dem. Rep.),1.087041834
fundamentals,93,Mauritania,1.032497673
fundamentals,94,Chad,1.014117468
fundamentals,95,Central African Republic,0.93241342
fundamentals,96,Somalia,0.923953824
fundamentals,97,Paraguay,0.921085859
fundamentals,98,Sudan,0.798282828
fundamentals,99,Azerbaijan,0.777851991
fundamentals,100,Uzbekistan,0.726556475
fundamentals,101,"Congo, Rep. ",0.710277778
fundamentals,102,South Sudan,0.691919192
fundamentals,103,Eritrea,0.562218615
fundamentals,104,Turkmenistan,0.343813131
opportunities,1,China,2.121433357
opportunities,2,Togo,2.106954467
opportunities,3,India,1.998441362
opportunities,4,Benin,1.983115887
opportunities,5,Myanmar,1.964972929
opportunities,6,Kenya,1.870445632
opportunities,7,Ethiopia,1.822406647
opportunities,8,Zambia,1.812348402
opportunities,9,Taiwan,1.774723546
opportunities,10,Mali,1.762849496
opportunities,11,Guinea,1.757908249
opportunities,12,Nigeria,1.727503571
opportunities,13,Sierra Leone,1.713596243
opportunities,14,Philippines,1.70576988
opportunities,15,Liberia,1.69518209
opportunities,16,Chile,1.673369698
opportunities,17,Tajikistan,1.649736297
opportunities,18,Burkina Faso,1.639733352
opportunities,19,Dominican Republic,1.581971589
opportunities,20,Mongolia,1.551519068
opportunities,21,Tunisia,1.545751157
opportunities,22,Tanzania,1.534100783
opportunities,23,Madagascar,1.52787184
opportunities,24,Cambodia,1.527423135
opportunities,25,South Africa,1.520607639
opportunities,26,Niger,1.519515971
opportunities,27,Rwanda,1.502175848
opportunities,28,Namibia,1.488695511
opportunities,29,Uganda,1.487485281
opportunities,30,Cameroon,1.484925867
opportunities,31,Nicaragua,1.484022268
opportunities,32,Vietnam,1.477320047
opportunities,33,Bangladesh,1.47611105
opportunities,34,Zimbabwe,1.471416592
opportunities,35,Afghanistan,1.454889687
opportunities,36,Senegal,1.452086183
opportunities,37,Ghana,1.435220056
opportunities,38,Angola,1.400183418
opportunities,39,Indonesia,1.398437563
opportunities,40,Malawi,1.377319847
opportunities,41,Iraq,1.366586787
opportunities,42,Argentina,1.35878425
opportunities,43,Panama,1.351193966
opportunities,44,Guatemala,1.350075345
opportunities,45,Brazil,1.345574107
opportunities,46,Burundi,1.310670243
opportunities,47,Mexico,1.295363809
opportunities,48,Cote d'Ivoire,1.291340331
opportunities,49,Honduras,1.281233539
opportunities,50,Kazakhstan,1.275852121
opportunities,51,United Arab Emirates,1.275337813
opportunities,52,Jamaica,1.270519923
opportunities,53,South Sudan,1.251219173
opportunities,54,Saudi Arabia,1.243280159
opportunities,55,Ukraine,1.237895099
opportunities,56,North Macedonia,1.235381013
opportunities,57,Congo (Dem. Rep.),1.218472052
opportunities,58,Pakistan,1.200071593
opportunities,59,Malaysia,1.197980739
opportunities,60,Laos,1.196751752
opportunities,61,Chad,1.185390984
opportunities,62,Botswana,1.169100856
opportunities,63,Qatar,1.165053829
opportunities,64,Nepal,1.158689327
opportunities,65,Lebanon,1.142742165
opportunities,66,Mozambique,1.113468495
opportunities,67,Sri Lanka,1.109328599
opportunities,68,Colombia,1.080765712
opportunities,69,Somalia,1.073545046
opportunities,70,Morocco,1.068917374
opportunities,71,Mauritania,1.044798954
opportunities,72,Albania,1.044424793
opportunities,73,Haiti,0.997148057
opportunities,74,Egypt,0.979209841
opportunities,75,Moldova,0.975455629
opportunities,76,Uruguay,0.972731683
opportunities,77,Kuwait,0.925208047
opportunities,78,Oman,0.915902046
opportunities,79,West Bank and Gaza,0.904379612
opportunities,80,Costa Rica,0.900066231
opportunities,81,Jordan,0.898475871
opportunities,82,Peru,0.893351048
opportunities,83,Kyrgyzstan,0.884612764
opportunities,84,Azerbaijan,0.875030333
opportunities,85,Georgia,0.87312044
opportunities,86,Lesotho,0.872197443
opportunities,87,El Salvador,0.852424901
opportunities,88,Armenia,0.850765149
opportunities,89,Turkey,0.849961865
opportunities,90,Bolivia,0.843501263
opportunities,91,Russia,0.838563969
opportunities,92,Algeria,0.814147676
opportunities,93,Bosnia and Herzegovina,0.775404301
opportunities,94,Central African Republic,0.75625022
opportunities,95,Eritrea,0.734885005
opportunities,96,Serbia,0.72562291
opportunities,97,Thailand,0.711195816
opportunities,98,Singapore,0.697401715
opportunities,99,"Congo, Rep. ",0.667178874
opportunities,100,Ecuador,0.649132021
opportunities,101,Turkmenistan,0.609114318
opportunities,102,Uzbekistan,0.560778921
opportunities,103,Sudan,0.514752325
opportunities,104,Paraguay,0.302508155
experience,1,Kenya,3.401066293
experience,2,Burundi,2.842910091
experience,3,Uruguay,2.781732084
experience,4,Nepal,2.758952619
experience,5,Rwanda,2.726182088
experience,6,Sierra Leone,2.631076329
experience,7,Uganda,2.606958175
experience,8,Honduras,2.580990076
experience,9,Zambia,2.509209013
experience,10,Namibia,2.460118115
experience,11,Vietnam,2.444956532
experience,12,Ethiopia,2.438461024
experience,13,Costa Rica,2.403510812
experience,14,Brazil,2.271563851
experience,15,Afghanistan,2.235014065
experience,16,Morocco,2.211626143
experience,17,Myanmar,2.211603453
experience,18,Malawi,2.153390804
experience,19,Ukraine,2.149966103
experience,20,El Salvador,2.135984324
experience,21,Serbia,2.117238225
experience,22,Nicaragua,2.112569374
experience,23,Jordan,2.10265424
experience,24,Chile,2.093162808
experience,25,Argentina,2.064295576
experience,26,China,2.037946251
experience,27,Peru,2.015805055
experience,28,India,2.010806353
experience,29,Panama,1.914854081
experience,30,Bangladesh,1.877358227
experience,31,Albania,1.864780994
experience,32,Laos,1.864399661
experience,33,Mali,1.851034637
experience,34,Turkey,1.849826105
experience,35,Taiwan,1.804531213
experience,36,Guatemala,1.797211161
experience,37,Mauritania,1.77432722
experience,38,Central African Republic,1.748780463
experience,39,Mongolia,1.744101938
experience,40,Georgia,1.730757457
experience,41,Sri Lanka,1.722832814
experience,42,Congo (Dem. Rep.),1.712430297
experience,43,Saudi Arabia,1.711010035
experience,44,Cambodia,1.69196074
experience,45,Philippines,1.670438621
experience,46,Colombia,1.670171423
experience,47,South Africa,1.662045155
experience,48,Zimbabwe,1.641671658
experience,49,Russia,1.614057247
experience,50,Kyrgyzstan,1.573893739
experience,51,Mexico,1.56985395
experience,52,Bolivia,1.552688808
experience,53,Mozambique,1.541590035
experience,54,Indonesia,1.540355136
experience,55,Kazakhstan,1.535712692
experience,56,Thailand,1.531196358
experience,57,Bosnia and Herzegovina,1.501778764
experience,58,Ghana,1.417090929
experience,59,Tajikistan,1.411762838
experience,60,Lesotho,1.390525115
experience,61,Senegal,1.386135341
experience,62,Nigeria,1.370089396
experience,63,Cameroon,1.345950949
experience,64,Pakistan,1.345192506
experience,65,Malaysia,1.333708793
experience,66,Cote d'Ivoire,1.31138212
experience,67,Tanzania,1.309630429
experience,68,Burkina Faso,1.30419746
experience,69,Madagascar,1.303917152
experience,70,Ecuador,1.288082873
experience,71,North Macedonia,1.276497322
experience,72,Egypt,1.227818807
experience,73,Liberia,1.187156305
experience,74,Sudan,1.134870117
experience,75,Armenia,1.133675266
experience,76,United Arab Emirates,1.114049839
experience,77,Niger,1.095059124
experience,78,Paraguay,1.029973779
experience,79,Jamaica,1.017676818
experience,80,Benin,0.980950989
experience,81,Haiti,0.979031009
experience,82,West Bank and Gaza,0.973383911
experience,83,Guinea,0.953930209
experience,84,Kuwait,0.950317464
experience,85,Singapore,0.93609467
experience,86,Dominican Republic,0.925631095
experience,87,Togo,0.893046929
experience,88,Azerbaijan,0.876920426
experience,89,Angola,0.861278813
experience,90,Moldova,0.835878496
experience,91,Oman,0.761309926
experience,92,Tunisia,0.711931567
experience,93,Algeria,0.669825633
experience,94,Lebanon,0.637779591
experience,95,Iraq,0.630720997
experience,96,Somalia,0.566071074
experience,97,Botswana,0.557129224
experience,98,"Congo, Rep. ",0.536628973
experience,99,South Sudan,0.469396652
experience,100,Uzbekistan,0.445622062
experience,101,Qatar,0.354179385
experience,102,Eritrea,0.291392068
experience,103,Chad,0.288014201
experience,104,Turkmenistan,0.000564967
